ID,Species,Soil Type,Salt Addition,Greenhouse Group,Diameter Growth (%),Stem Mass Growth (%),Coarse Root Growth (%),Total Biomass Growth (%),Pre-Existing Biomass Growth (%),New Above Ground Biomass (g),Fine Root Mass (g),New Above/Below Ground Biomass Ratio,Week 6 SPAD,Initial Diameter (mm),Final Diameter (mm),Initial Stem Displacement (g),Final Stem Displacement (g),Initial Coarse Root Displacement (g),Final Coarse Root Weight (g),Initial Pre-Existing Biomass (g),Final Pre-Existing Biomass (g),Final Total Biomass (g),End SPAD ,Week 1 Leachate NaCl (mg),Week 2 Leachate NaCl (mg),Week 3 Leachate NaCl (mg),Week 4 Leachate NaCl (mg),Week 5 Leachate NaCl (mg),Week 6 Leachate NaCl (mg),Week 7 Leachate NaCl (mg),Week 8 Leachate NaCl (mg),Fraction of LICOR covered by Leaf 
60,HON,BCMI,N,3,-2.520325203,,-17.91044776,-19.25064599,-19.25064599,0,0,,,6.15,5.995,,7,6.7,5.5,15.48,12.5,12.5,,152.1095,84.693,36.195,23.408,19.5505,25.2672,21.58905,14.68675,
61,HON,BCMI,Y,5,1.207464325,,-13.04347826,-18.47826087,-18.47826087,0,0,,,4.555,4.61,,5,4.6,4,11.04,9,9,,153.18,105.791,28.458,38.043,43,36.498,28.46765,20.139,
62,HON,BCMI,Y,6,-0.248601616,,-32.29166667,-24.83026188,-24.83026188,0,0,,,8.045,8.025,,9,9.6,6.5,20.62,15.5,15.5,,193.362,75.8,36.288,40.4639,32.93675,31.0878,25.3995,18.12315,
63,HON,BCMI,N,2,0.658436214,,-1.960784314,11.82155797,-0.362318841,0.88,0.4651,1.892066222,32.9,6.075,6.115,,6,5.1,5,11.04,11,12.3451,24.6,154.356,90.44,50.8305,25.09,23.3885,29.8494,25.60085,17.09475,0.773392641
64,HON,BCMI,Y,2,-9.143807149,,-31.03448276,-26.97594502,-26.97594502,0,0,,,6.015,5.465,,4.5,5.8,4,11.64,8.5,8.5,,195.385,92.848,50.5455,34.5816,28.776,32.3255,22.4136,21.99125,
65,HON,BCMI,N,1,1.36239782,,-9.090909091,4.804347826,-1.185770751,0.24,0.0631,3.803486529,,3.67,3.72,,3,2.2,2,5.06,5,5.3031,24.1,197.824,92.505,51.168,33.336,34.6525,35.30835,24.0273,16.72035,
66,HON,BCMI,N,5,-2.914110429,,-31.03448276,-35.8974359,-35.8974359,0,0,,,6.52,6.33,,5.5,8.7,6,17.94,11.5,11.5,,187.974,104.468,35.735,43.8081,28.35,28.7842,21.4536,13.6617,
67,HON,BCMI,Y,1,-5.373134328,,-23.52941176,-17.48479087,-17.61723701,0,0.0209,,,6.7,6.34,,6.5,8.5,6.5,15.78,13,13.0209,,253.725,102.81,25.25,42.5371,31.752,39.2832,24.0894,22.4147,
68,HON,BCMI,N,7,1.413690476,,-25.23364486,-3.758169935,-4.003267974,0.06,0,,,6.72,6.815,,15.5,10.7,8,24.48,23.5,23.56,,150.308,100.688,29.83,33.76,42.72625,29.466,22.333,17.475,
69,HON,BCMI,N,6,1.867572156,,-28.57142857,-20.87042532,-20.87042532,0,0,,,5.89,6,,4.5,4.9,3.5,10.11,8,8,,243.1855,95.184,,42.4656,30.47625,31.302,23.6964,14.72995,
70,HON,BCMI,Y,3,14.78163494,,15.38461538,69.9851338,18.9296333,2.82,2.3315,1.209521767,33.9,4.465,5.125,,6,5.2,6,10.09,12,17.1515,23.3,213.864,139.755,29.73955,13.574,5.445,4.57275,6.171,3.2487,0.647907648
71,HON,BCOT,Y,4,-6.206361521,,-21.56862745,-38.59667969,-38.96484375,0,0.0754,,,6.445,6.045,,4.5,10.2,8,20.48,12.5,12.5754,,42.444,49.2076,35.4844,20.247,21.249,27.5625,27.2322,18.4498,
72,HON,BCOT,Y,2,7.397260274,,53.22580645,94.64119601,28.73754153,4.64,3.2948,1.408279713,31.9,5.475,5.88,,6,6.2,9.5,12.04,15.5,23.4348,28.2,64.692,55.79225,12.096,4.715,1.76875,1.845,1.2366,1.3811,0.73327013
73,HON,BCOT,Y,3,-3.676470588,,-13.04347826,-22.14532872,-22.14532872,0,0,,,4.08,3.93,,2.5,2.3,2,5.78,4.5,4.5,,145.9095,119.07,31.6245,38.8265,38.265,35.44695,40.3153,22.8171,
74,HON,BCOT,Y,7,2.068416866,,-12.62135922,-20.34995809,-20.36881811,0,0.0045,,,6.285,6.415,,10,10.3,9,23.86,19,19.0045,,127.086,82.404,35.9612,48.2625,46.64,42.924,36.8295,25.9522,
75,HON,BCOT,N,1,-2.802690583,,-16.66666667,-21.05263158,-21.05263158,0,0,,,4.46,4.335,,2.5,4.2,3.5,7.6,6,6,,119.99,74.2045,17.70975,39.8613,37.098,34.4432,31.04765,23.9538,
76,HON,BCOT,Y,5,-1.298701299,,-11.11111111,-8.903688525,-18.03278689,0.6,0.291,2.06185567,,5.005,4.94,,4,4.5,4,9.76,8,8.891,29.9,73.042,42.874,10.60525,24.8612,25.33375,19.3914,24.9736,15.2292,0.538600289
77,HON,BCOT,Y,6,1.577563541,,20.25316456,47.93280872,11.98547215,3.52,2.4185,1.455447591,32.3,5.705,5.795,,9,7.9,9.5,16.52,18.5,24.4385,34,91.124,37.0115,,12.5175,8.40275,3.53925,0.35015,0.3221,0.662698413
78,HON,BCOT,N,3,13.88577828,,103.125,119.5802005,44.11027569,3.56,2.4625,1.445685279,38.1,4.465,5.085,,5,3.2,6.5,7.98,11.5,17.5225,31.6,95.095,49.22885,7.6659,11.336,3.048,1.83105,0.3686,0.5764,0.732503608
79,HON,BCOT,N,6,-1.134751773,,-3.669724771,-18,-18,0,0,,,7.05,6.97,,10,10.9,10.5,25,20.5,20.5,,76.776,38.8935,21.77215,25.713,25.78725,26.0694,23.8075,11.4495,
80,HON,BCOT,N,5,2.015503876,,-8.045977011,-17.58454106,-17.87439614,0.06,0,,,6.45,6.58,,9,8.7,8,20.7,17,17.06,,94.563,47.04,17.1985,20.33875,22.737,23.864,20.385,9.15935,
81,HON,BCOT,N,4,7.77385159,,32.35294118,72.67681499,11.2412178,2.6,2.6466,0.982392504,38.2,4.245,4.575,,5,3.4,4.5,8.54,9.5,14.7466,30.2,108.864,67.1125,33.69315,20.4776,9.888,7.9431,4.8713,0.8712,0.665764791
